   I        Q 
8.087851e+00 -1.424738e+01 
-3.348790e+01 -2.098814e+01 
-1.306119e+01 2.197820e+01 
-9.167971e+00 3.032625e+01 
4.277566e+01 4.366337e+00 
-1.030932e+01 -7.411591e+00 
1.356703e+01 1.494298e+00 
5.616061e+00 8.281433e+00 
1.157540e+01 -2.182379e+01 
-1.316092e+01 1.398568e+01 
1.727603e+01 -6.449832e+00 
-3.276737e+00 4.273893e+00 
3.394485e+00 -3.551230e+00 
1.328518e+01 1.635289e+01 
2.040801e+01 -2.333666e+01 
-1.434824e+01 -1.163065e+01 
5.525130e+00 6.549906e+00 
-6.830779e+00 -1.349116e+01 
-4.064295e-01 9.409791e+00 
-6.635025e+00 8.684951e+00 
3.033487e+01 6.432296e+00 
2.933337e+00 -1.905711e+01 
8.006589e-01 -1.185658e+01 
-8.897430e+00 -7.150726e+00 
-1.030936e+01 -1.347916e-01 
-6.402611e+00 8.476553e+00 
8.922449e+00 1.191152e+01 
8.619292e-01 -1.159485e+01 
-1.575920e+00 1.871280e+01 
1.186471e+01 -1.078795e+01 
-3.182897e-01 1.311590e+01 
5.231358e+00 -1.053423e+01 
1.640518e+01 1.778238e+01 
4.523240e+00 -3.165814e+01 
-2.935808e+00 2.227821e+00 
-2.199743e+01 -5.792997e+00 
5.079572e+00 3.640342e+01 
4.130184e+01 -3.560942e+00 
-6.878638e+00 -2.354312e+01 
6.487080e+00 1.677685e+00 
5.433354e+00 1.502513e+00 
9.030742e-01 -2.417257e+01 
9.798768e-01 1.670006e+01 
-8.760208e+00 -1.405314e+01 
3.090308e+01 2.366880e+01 
6.887550e+00 -3.767603e+01 
-8.105076e+00 -7.923076e+00 
5.337482e+00 8.784089e+00 
2.016050e+01 -3.037939e+01 
-2.231559e+01 -2.727575e+01 
-2.092075e+01 5.546958e+00 
1.953263e+00 -5.738864e+00 
-2.450877e+01 -5.691770e+00 
-3.284116e+00 2.914253e+01 
2.055310e+01 -1.356547e+01 
-1.447559e+01 8.908031e-01 
1.010860e+01 -1.706590e+00 
5.189885e+00 -1.109699e+01 
-2.460932e+01 -1.767253e+01 
5.006093e+00 2.473712e+01 
-3.309733e+00 -2.348648e+01 
1.523083e+00 4.747260e+00 
-2.034548e+01 -1.190364e+01 
4.146075e+00 -3.959341e+00 
-3.339413e+01 5.036353e+00 
-1.280533e+00 5.332940e+00 
-4.573516e+00 2.187759e+01 
-4.127973e+00 -7.698630e+00 
-5.779030e-01 1.351842e+01 
-7.266854e+00 1.410320e+01 
1.457564e+01 -5.360585e+00 
-8.815179e+00 1.202271e+01 
2.630650e+00 -1.116528e-01 
9.243499e+00 5.513904e+00 
-4.097619e+00 -3.591937e+00 
-5.769732e+00 -1.363682e+00 
6.722791e+00 1.110391e+01 
-1.518198e+01 -9.649088e+00 
1.078215e-01 1.658915e+01 
-1.093264e+01 1.518293e+01 
1.970866e+01 2.293728e+01 
2.123489e+01 2.206699e+00 
2.752143e+01 -8.827030e+00 
-1.298173e+01 -3.686050e+01 
-5.160054e+00 1.723534e+01 
-1.223183e+01 -1.401726e+01 
-1.525436e+00 2.048015e+01 
9.548249e+00 7.832178e+00 
7.664302e+00 -3.187007e+00 
1.706424e+01 -1.102958e+01 
-2.172133e+01 -4.444780e+00 
8.327364e+00 -1.018702e+01 
-1.352676e+01 1.297625e+01 
-1.363747e+01 -5.422560e+00 
2.493899e+01 2.145421e+01 
-1.958679e+01 -8.833615e+00 
2.170415e+01 -7.015805e+00 
-1.942125e+01 1.339707e+01 
-3.564808e+00 -2.319385e+01 
-1.335982e+01 3.794729e+01 
3.973392e+00 1.182400e+01 
3.371907e+01 3.347560e+00 
-7.643478e+00 -1.188311e+01 
-1.108366e+01 -4.072360e+00 
4.083422e+00 3.062116e+01 
1.465681e+01 -8.619791e+00 
-1.001833e+00 1.124695e+01 
2.293838e+01 -4.813775e+00 
